zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,"80,92","90,07","98,35","111,14","125,04","141,06","159,28","163,28","148,51","154,71","155,44","163,71","175,31","184,65","201,51","207,75","209,77","217,56","223,48","218,19","235,41","235,02","252,05","263,88","259,76","263,78","260,13","260,19","268,76","271,38"
Pacific,"286,17","287,95","293,49","297,18","303,21","313,81","325,30","337,07","356,44","363,79","370,52","379,31","391,80","392,85","405,37","411,61","415,47","424,97","429,57","431,95","430,47","428,04","428,79","422,98","414,95","420,64","429,82","433,93","433,57","440,02"
Australia,"261,38","262,71","266,70","270,70","275,24","285,39","295,35","304,24","324,08","329,70","335,84","342,10","354,09","353,89","367,31","372,70","376,40","386,97","390,25","395,71","394,16","392,63","390,93","384,17","375,03","381,05","389,91","392,27","390,55","395,44"
New Zealand,"21,62","22,17","23,71","23,43","23,98","24,51","25,92","28,27","27,40","29,00","30,16","32,01","32,09","32,64","32,38","33,02","33,13","32,01","33,09","30,33","30,09","29,38","31,11","31,16","32,07","31,68","31,23","32,74","32,39","32,77"
Africa,"538,16","544,88","554,23","563,97","562,29","592,33","614,92","648,04","664,66","666,91","680,22","740,96","773,24","807,29","853,64","880,64","898,17","936,89","997,29","987,74","1040,15","1038,24","1096,48","1142,08","1187,61","1178,75","1192,50","1212,56","1249,87","1256,63"
Algeria,"52,97","57,14","57,25","59,19","56,34","56,82","56,16","58,06","59,48","63,24","64,22","65,73","71,67","74,88","75,97","80,32","83,43","87,43","90,80","96,75","97,47","104,70","115,16","118,17","127,38","135,38","133,16","134,65","143,49","146,70"
Egypt,"78,40","77,43","80,35","82,11","77,15","82,65","87,04","93,74","98,94","103,94","101,70","111,68","117,15","120,59","131,77","149,07","157,41","169,48","177,49","181,85","183,61","189,97","196,36","195,59","198,06","205,10","211,14","217,15","217,80","214,82"
Nigeria,"28,32","33,59","40,14","36,64","30,85","33,20","36,93","41,58","37,63","39,46","43,99","49,66","51,36","55,62","55,87","58,35","53,12","49,12","54,05","45,80","56,44","61,65","63,38","82,75","91,34","85,01","87,03","88,14","88,35","86,93"
South Africa,"251,94","247,85","244,93","252,59","257,66","273,74","284,08","298,93","306,60","289,74","296,11","330,70","341,84","363,85","387,07","379,18","378,90","400,39","432,63","408,36","428,72","413,08","430,04","439,60","452,24","426,61","428,39","430,18","442,08","446,66"
Middle-East,"589,50","604,23","676,38","726,66","796,37","813,83","846,42","894,19","893,15","919,82","961,34","1015,31","1058,74","1092,29","1159,61","1240,14","1316,01","1383,89","1472,60","1540,78","1607,59","1661,18","1735,58","1774,59","1849,64","1875,28","1887,86","1920,26","1946,96","1979,89"
Iran,"181,23","200,80","218,17","219,63","248,79","254,72","262,14","276,53","280,08","305,89","320,03","335,40","350,67","365,51","394,85","426,97","460,26","492,56","501,88","521,00","515,17","531,21","535,86","553,84","584,64","579,02","582,32","602,10","626,26","637,76"
Kuwait,"28,07","7,82","22,50","28,80","33,37","33,32","32,42","33,54","39,71","43,77","47,08","51,05","53,10","54,84","57,81","66,21","67,99","68,27","72,83","79,93","78,85","80,11","79,77","87,70","83,82","93,25","94,76","90,93","91,88","94,42"
Saudi Arabia,"155,69","162,06","176,78","187,36","199,49","198,64","211,52","213,99","228,90","234,93","244,15","248,15","265,65","276,55","293,94","310,51","329,32","346,43","378,28","395,03","435,08","451,16","481,69","488,56","524,27","550,71","546,26","551,46","529,77","534,33"
United Arab Emirates,"52,15","59,46","56,91","59,99","65,88","69,97","73,06","77,02","78,86","81,06","80,31","93,02","95,03","99,28","105,46","111,92","115,85","124,79","146,61","148,90","155,86","160,06","170,55","178,86","178,76","188,98","194,59","199,05","199,20","199,27"
