zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa,"18,40","19,33","18,17","17,41","17,05","17,05","17,03","16,83","17,20","17,91","17,80","18,55","17,96","17,20","17,29","16,99","17,00","16,48","16,45","16,91","17,50","17,16","16,66","17,16","18,01","17,71","17,55","18,26","19,45","20,19"
Algeria,"0,78","1,58","1,02","1,71","0,78","0,92","0,62","0,33","0,85","0,76","0,20","0,24","0,19","0,83","0,75","1,53","0,58","0,57","0,66","0,75","0,36","0,90","1,00","0,51","0,36","0,29","0,43","0,76","0,93","0,93"
Egypt,"23,50","22,35","21,24","21,94","22,25","21,95","20,96","20,52","19,41","21,44","17,70","18,43","14,65","14,06","13,00","12,14","11,73","13,06","11,90","10,07","10,05","9,33","8,88","8,81","8,87","8,46","8,39","8,60","9,01","10,00"
Nigeria,"32,59","41,86","40,85","38,41","35,81","34,68","33,86","34,70","38,22","38,21","38,22","38,22","38,22","36,90","33,40","33,00","27,10","27,10","27,10","22,90","24,40","21,76","19,77","18,50","16,64","17,70","17,65","17,23","17,51","20,32"
South Africa,"1,70","2,25","1,24","0,85","1,43","0,97","1,78","2,30","2,07","1,73","2,01","2,01","2,11","1,69","2,00","1,83","2,41","1,56","1,65","1,78","2,07","2,02","1,75","1,70","2,58","3,55","4,37","5,51","6,25","6,46"
Middle-East,"4,88","4,56","4,87","4,46","3,46","3,22","3,10","2,84","2,65","1,96","1,71","1,91","2,22","2,80","2,77","4,28","4,23","3,83","1,53","1,63","2,03","2,20","2,28","2,51","1,99","1,77","2,18","1,92","2,12","3,78"
Iran,"10,29","11,00","13,88","12,89","9,09","8,58","8,13","7,09","6,80","4,44","3,05","3,93","5,75","7,23","6,39","9,08","9,54","8,89","2,42","3,37","4,16","5,12","4,99","5,71","5,20","5,10","5,78","5,02","5,36","9,44"
Kuwait,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01"
Saudi Arabia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,04","0,04","0,04","0,07","0,28"
United Arab Emirates,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,26","0,23","0,27","0,59","1,04","3,24"
