Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,Total,Total final consumption (ktoe),6543,6651,6521,6577,5932,6164,6483,6817,7011,7295,7410,6967,7261,7614,7633,8048,8323,9306,10313,11099,11800,13115,13436,14275,15241,16464,18460,18506,19665,20382,20368,20661,20803,21664,21844,22902,22885,22586,22526,23860,25075,24965,26600,24912,25011,26489,26908,28113
Czech Republic,"Coal, peat and oil shale",Total final consumption (ktoe),23422,22082,20252,19730,20153,20669,21815,19809,22608,19628,19588,19563,20064,20500,20596,20940,21994,21589,18745,12321,10454,8908,8156,6780,6055,5320,4908,3927,3598,4784,4034,3953,4274,4205,3630,3875,3206,3159,3172,2561,2502,2588,2545,2292,2273,2269,2383,2326
Czech Republic,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Oil products,Total final consumption (ktoe),6204,6875,7746,7713,8043,8101,8933,8918,9229,9228,9274,9663,8993,9068,8872,8676,8730,8190,8761,8272,6853,7397,6993,7062,7295,7468,7265,7604,7473,7295,7683,7518,8057,8963,9270,9219,9257,9293,8764,8602,8329,8281,8007,8518,8339,7713,9051,9141
Czech Republic,Natural gas,Total final consumption (ktoe),682,661,813,1013,1219,1248,1432,1693,1920,1179,1201,1314,1715,1857,2459,2704,3071,3194,3328,4244,3977,4476,4574,4575,5147,5780,6105,6189,6125,5915,6450,6191,6319,6210,6184,6147,5877,5942,5498,6179,5603,5484,5460,4901,5120,5384,5618,5255
Czech Republic,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Renewables and waste,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,1053,1554,1460,1356,1140,1154,1234,1279,1283,1255,1374,1540,1532,1621,1771,1848,1945,2080,2274,2409,2525,2629,2764,2885,2950,3030,3030,3113
Czech Republic,Electricity,Total final consumption (ktoe),2300,2423,2536,2650,2795,2914,3022,3165,3107,3256,3327,3362,3455,3579,3721,3821,3965,4031,4093,4142,3823,3730,3699,3867,4134,4324,4268,4202,4138,4246,4375,4370,4506,4502,4609,4748,4761,4827,4568,4662,4613,4633,4576,4576,4684,4802,4934,4987
Czech Republic,Heat,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,1368,1349,1387,1441,1507,1655,1638,1664,1567,1571,2959,3116,3002,3324,3257,3664,3958,3656,3171,2958,2624,2793,2642,2653,2614,2478,2314,2273,2229,2071,2426,2288,2322,2282,2010,2031,2105,2139,2063
Czech Republic,Total,Total final consumption (ktoe),32608,32040,31347,31107,32210,32933,35203,33585,36864,34659,34740,35289,35668,36510,37304,37780,39423,38570,36498,32980,29277,29067,28205,26897,27435,28004,27435,26373,25574,26119,26710,26215,27341,28115,27942,28151,27318,27530,26347,26839,25861,25936,25633,25182,25398,25303,27156,26885
